,country_code,country_name,region,total_cases,total_deaths,total_vaccinations,vaccinated_1dose,fully_vacccinated,total_vaccinations_per100,percent_full_vac,first_vaccine_date,last_updated_date,stringency
197,MCO,Monaco,Europe,3399,36,49980,26672,23308,127.4,59.82,30/06/2021,16/09/2021,35.19
198,TCA,Turks and Caicos Islands,Americas,2956,23,54417,28305,26112,140.547,NA,11/01/2021,22/10/2021,NA
199,VGB,British Virgin Islands,Americas,2725,37,33527,17765,15762,110.881,NA,11/02/2021,22/10/2021,NA
200,KNA,Saint Kitts and Nevis,Americas,2637,21,49817,25763,24054,93.655,NA,22/02/2021,22/10/2021,NA
201,BTN,Bhutan,South-East Asia,2620,3,1103506,585993,517513,143.014,67.82,27/03/2021,18/10/2021,61.11
202,GGY,Guernsey,Europe,2055,22,102548,NA,NA,159.068,NA,NA,18/10/2021,NA
203,FRO,Faroe Islands,Europe,1778,2,76516,39114,37402,156.587,NA,NA,21/10/2021,13.89
204,CYM,Cayman Islands,Americas,1279,2,111027,55991,53684,168.939,NA,15/01/2021,22/10/2021,NA
205,AIA,Anguilla,Americas,859,1,18705,9548,9157,124.683,NA,5/02/2021,22/10/2021,NA
206,GRL,Greenland,Europe,772,0,77006,40104,36902,135.641,NA,NA,21/10/2021,30.09
207,WLF,Wallis and Futuna,Western Pacific,454,7,11102,5781,5321,98.72,NA,19/03/2021,15/10/2021,NA
208,MNP,Northern Mariana Islands (Commonwealth of the),Western Pacific,291,3,70330,35996,35155,122.192,NA,19/12/2020,15/10/2021,NA
209,FLK,Falkland Islands (Malvinas),Americas,69,0,4407,2632,1775,126.529,NA,NA,14/04/2021,NA
210,MSR,Montserrat,Americas,41,1,2911,1502,1409,58.232,NA,8/02/2021,22/10/2021,NA
211,SPM,Saint Pierre and Miquelon,Americas,32,0,NA,NA,NA,NA,NA,NA,NA,NA
212,VAT,Holy See,Europe,26,0,NA,NA,NA,NA,NA,NA,NA,NA
213,SLB,Solomon Islands,Western Pacific,20,0,152832,121778,31054,22.25,4.25,23/03/2021,15/10/2021,33.33
214,PLW,Palau,Western Pacific,8,0,30940,17768,15505,171.015,NA,3/01/2021,14/10/2021,NA
215,VUT,Vanuatu,Western Pacific,5,0,14955,8880,6076,4.869,NA,2/06/2021,17/10/2021,16.67
216,ASM,American Samoa,Western Pacific,4,0,63694,34565,29675,115.394,NA,21/12/2020,14/10/2021,NA
217,MHL,Marshall Islands,Western Pacific,4,0,40954,23021,20058,69.186,NA,29/12/2020,14/10/2021,NA
218,WSM,Samoa,Western Pacific,1,0,188664,115354,73310,95.086,NA,18/04/2021,13/10/2021,NA
219,COK,Cook Islands,Western Pacific,0,0,23489,12297,11192,133.734,NA,17/05/2021,11/10/2021,NA
220,PRK,Democratic People's Republic of Korea,South-East Asia,0,0,NA,NA,NA,NA,NA,NA,NA,NA
221,KIR,Kiribati,Western Pacific,0,0,65279,54026,11253,54.65,NA,26/05/2021,15/10/2021,37.5
222,FSM,Micronesia (Federated States of),Western Pacific,0,0,73747,45439,39970,64.115,NA,13/01/2021,14/10/2021,NA
223,NRU,Nauru,Western Pacific,0,0,14790,7612,7178,136.515,NA,9/04/2021,20/08/2021,NA
224,NIU,Niue,Western Pacific,0,0,2352,1202,1150,145.365,NA,8/06/2021,2/08/2021,NA
225,PCN,Pitcairn Islands,Western Pacific,0,0,74,37,37,148,NA,17/05/2021,16/09/2021,NA
226,SHN,Saint Helena,Africa,0,0,7892,4361,3531,129.995,NA,NA,5/05/2021,NA
227,TKL,Tokelau,Western Pacific,0,0,1936,968,968,143.407,NA,20/07/2021,28/09/2021,NA
228,TON,Tonga,Western Pacific,0,0,84506,51048,33458,79.953,NA,14/04/2021,18/10/2021,NA
229,TKM,Turkmenistan,Europe,0,0,7580976,4374694,3206282,125.7,NA,24/02/2021,29/08/2021,NA
230,TUV,Tuvalu,Western Pacific,0,0,10861,6209,4652,92.105,NA,13/04/2021,10/09/2021,NA
